Date,Close,Open,High,Low
12/06/2023,192.32,194.45,194.76,192.11
12/05/2023,193.42,190.21,194.4,190.18
12/04/2023,189.43,189.98,190.05,187.45
12/01/2023,191.24,190.33,191.56,189.23
11/30/2023,189.95,189.84,190.32,188.19
11/29/2023,189.37,190.9,192.09,188.97
11/28/2023,190.4,189.78,191.08,189.4
11/27/2023,189.79,189.92,190.67,188.9
11/24/2023,189.97,190.87,190.9,189.25
11/22/2023,191.31,191.49,192.93,190.82
11/21/2023,190.64,191.41,191.52,189.74
11/20/2023,191.45,189.89,191.9,189.88
11/17/2023,189.69,190.25,190.38,188.57
11/16/2023,189.71,189.57,190.96,188.65
11/15/2023,188.01,187.85,189.5,187.78
11/14/2023,187.44,187.7,188.11,186.3
11/13/2023,184.8,185.82,186.03,184.21
11/10/2023,186.4,183.97,186.57,183.53
11/09/2023,182.41,182.96,184.12,181.81
11/08/2023,182.89,182.35,183.45,181.59
11/07/2023,181.82,179.18,182.44,178.97
11/06/2023,179.23,176.38,179.43,176.21
11/03/2023,176.65,174.24,176.82,173.35
11/02/2023,177.57,175.52,177.78,175.46
11/01/2023,173.97,171,174.23,170.12
10/31/2023,170.77,169.35,170.9,167.9
10/30/2023,170.29,169.02,171.17,168.87
10/27/2023,168.22,166.91,168.96,166.83
10/26/2023,166.89,170.37,171.38,165.67
10/25/2023,171.1,171.88,173.06,170.65
10/24/2023,173.44,173.05,173.67,171.45
10/23/2023,173,170.91,174.01,169.93
10/20/2023,172.88,175.31,175.42,172.64
10/19/2023,175.46,176.04,177.84,175.19
10/18/2023,175.84,175.58,177.57,175.11
10/17/2023,177.15,176.65,178.42,174.8
10/16/2023,178.72,176.75,179.07,176.51
10/13/2023,178.85,181.42,181.93,178.14
10/12/2023,180.71,180.07,182.34,179.04
10/11/2023,179.8,178.2,179.85,177.6
10/10/2023,178.39,178.1,179.72,177.95
10/09/2023,178.99,176.81,179.05,175.8
10/06/2023,177.49,173.8,177.99,173.18
10/05/2023,174.91,173.79,175.45,172.68
10/04/2023,173.66,171.09,174.21,170.97
10/03/2023,172.4,172.26,173.63,170.82
10/02/2023,173.75,171.22,174.3,170.93
09/29/2023,171.21,172.02,173.07,170.34
09/28/2023,170.69,169.34,172.03,167.62
09/27/2023,170.43,172.62,173.04,169.05
09/26/2023,171.96,174.82,175.2,171.66
09/25/2023,176.08,174.2,176.97,174.15
09/22/2023,174.79,174.67,177.08,174.05
09/21/2023,173.93,174.55,176.3,173.86
09/20/2023,175.49,179.26,179.7,175.4
09/19/2023,179.07,177.52,179.63,177.13
09/18/2023,177.97,176.48,179.38,176.17
09/15/2023,175.01,176.48,176.49,173.82
09/14/2023,175.74,174,176.1,173.58
09/13/2023,174.21,176.51,177.3,173.98
09/12/2023,176.3,179.49,180.13,174.82
09/11/2023,179.36,180.07,180.3,177.34
09/08/2023,178.18,178.35,180.24,177.79
09/07/2023,177.56,175.18,178.21,173.54
09/06/2023,182.91,188.4,188.85,181.47
09/05/2023,189.7,188.28,189.98,187.61
09/01/2023,189.46,189.49,189.92,188.28
08/31/2023,187.87,187.84,189.12,187.48
08/30/2023,187.65,184.94,187.85,184.74
08/29/2023,184.12,179.7,184.9,179.5
08/28/2023,180.19,180.09,180.59,178.54
08/25/2023,178.61,177.38,179.15,175.82
08/24/2023,176.38,180.67,181.1,176.01
08/23/2023,181.12,178.52,181.55,178.32
08/22/2023,177.23,177.06,177.68,176.25
08/21/2023,175.84,175.07,176.13,173.74
08/18/2023,174.49,172.3,175.1,171.96
08/17/2023,174,177.14,177.51,173.48
08/16/2023,176.57,177.13,178.54,176.5
08/15/2023,177.45,178.88,179.48,177.05
08/14/2023,179.46,177.97,179.69,177.3
08/11/2023,177.79,177.32,178.62,176.55
08/10/2023,177.97,179.48,180.75,177.6
08/09/2023,178.19,180.87,180.93,177.01
08/08/2023,179.8,179.69,180.27,177.58
08/07/2023,178.85,182.13,183.13,177.35
08/04/2023,181.99,185.52,187.38,181.92
08/03/2023,191.17,191.57,192.37,190.69
08/02/2023,192.58,195.04,195.18,191.85
08/01/2023,195.6,196.24,196.73,195.28
07/31/2023,196.45,196.06,196.49,195.26
07/28/2023,195.83,194.67,196.63,194.14
07/27/2023,193.22,196.02,197.2,192.55
07/26/2023,194.5,193.67,195.64,193.32
07/25/2023,193.62,193.33,194.44,192.91
07/24/2023,192.75,193.41,194.91,192.25
07/21/2023,191.94,194.1,194.97,191.23
07/20/2023,193.13,195.09,196.47,192.49
07/19/2023,195.1,193.1,198.23,192.65
07/18/2023,193.73,193.35,194.33,192.41
07/17/2023,193.99,191.9,194.32,191.81
07/14/2023,190.69,190.23,191.18,189.63
07/13/2023,190.54,190.5,191.19,189.78
07/12/2023,189.77,189.68,191.7,188.47
07/11/2023,188.08,189.16,189.3,186.6
07/10/2023,188.61,189.26,189.99,187.04
07/07/2023,190.68,191.41,192.67,190.24
07/06/2023,191.81,189.84,192.02,189.2
07/05/2023,191.33,191.57,192.98,190.62
07/03/2023,192.46,193.78,193.88,191.76
06/30/2023,193.97,191.63,194.48,191.26
06/29/2023,189.59,189.08,190.07,188.94
06/28/2023,189.25,187.93,189.9,187.6
06/27/2023,188.06,185.89,188.39,185.67
06/26/2023,185.27,186.83,188.05,185.23
06/23/2023,186.68,185.55,187.56,185.01
06/22/2023,187,183.74,187.04,183.67
06/21/2023,183.96,184.9,185.41,182.59
06/20/2023,185.01,184.41,186.1,184.41
06/16/2023,184.92,186.73,186.99,184.27
06/15/2023,186.01,183.96,186.52,183.78
06/14/2023,183.95,183.37,184.39,182.02
06/13/2023,183.31,182.8,184.15,182.44
06/12/2023,183.79,181.27,183.89,180.97
06/09/2023,180.96,181.5,182.23,180.63
06/08/2023,180.57,177.9,180.84,177.46
06/07/2023,177.82,178.44,181.21,177.32
06/06/2023,179.21,179.96,180.12,177.43
06/05/2023,179.58,182.63,184.95,178.04
06/02/2023,180.95,181.03,181.78,179.26
06/01/2023,180.09,177.7,180.12,176.93
05/31/2023,177.25,177.32,179.35,176.76
05/30/2023,177.3,176.96,178.99,176.57
05/26/2023,175.43,173.32,175.77,173.11
05/25/2023,172.99,172.41,173.9,171.69
05/24/2023,171.84,171.09,172.42,170.52
05/23/2023,171.56,173.13,173.38,171.27
05/22/2023,174.2,173.98,174.71,173.45
05/19/2023,175.16,176.39,176.39,174.94
05/18/2023,175.05,173,175.24,172.58
05/17/2023,172.69,171.71,172.93,170.42
05/16/2023,172.07,171.99,173.14,171.8
05/15/2023,172.07,173.16,173.21,171.47
05/12/2023,172.57,173.62,174.06,171
05/11/2023,173.75,173.85,174.59,172.17
05/10/2023,173.55,173.02,174.03,171.9
05/09/2023,171.77,173.05,173.54,171.6
05/08/2023,173.5,172.48,173.85,172.11
05/05/2023,173.57,170.98,174.3,170.76
05/04/2023,165.79,164.89,167.04,164.31
05/03/2023,167.45,169.5,170.92,167.16
05/02/2023,168.54,170.09,170.35,167.54
05/01/2023,169.59,169.28,170.45,168.64
04/28/2023,169.68,168.49,169.85,167.88
04/27/2023,168.41,165.19,168.56,165.19
04/26/2023,163.76,163.05,165.28,162.8
04/25/2023,163.77,165.19,166.3,163.73
04/24/2023,165.33,165,165.6,163.89
04/21/2023,165.02,165.05,166.45,164.49
04/20/2023,166.65,166.09,167.87,165.56
04/19/2023,167.63,165.8,168.16,165.54
04/18/2023,166.47,166.1,167.41,165.65
04/17/2023,165.23,165.09,165.39,164.03
04/14/2023,165.21,164.59,166.32,163.82
04/13/2023,165.56,161.63,165.8,161.42
04/12/2023,160.1,161.22,162.06,159.78
04/11/2023,160.8,162.35,162.36,160.51
04/10/2023,162.03,161.42,162.03,160.08
04/06/2023,164.66,162.43,164.96,162
04/05/2023,163.76,164.74,165.05,161.8
04/04/2023,165.63,166.6,166.84,165.11
04/03/2023,166.17,164.27,166.29,164.22
03/31/2023,164.9,162.44,165,161.91
03/30/2023,162.36,161.53,162.47,161.27
03/29/2023,160.77,159.37,161.05,159.35
03/28/2023,157.65,157.97,158.49,155.98
